0.680	-0.211
-0.605	-0.330
0.027	0.904
0.832	0.271
-0.563	0.026
0.678	0.225
-0.013	0.946
0.540	-0.200
0.899	0.052
0.780	-0.302
-0.921	-0.125
-0.120	0.760
0.658	-0.339
0.373	0.913
-0.121	0.848
-0.203	0.630
0.368	0.822
-0.035	-0.568
0.762	0.282
0.572	-0.385
-0.106	-0.548
-0.167	-0.661
-0.009	0.521
-0.234	0.500
0.169	-0.511
0.043	-0.648
0.313	0.935
0.279	0.519
-0.077	0.639
0.147	0.511
0.188	-0.639
-0.674	-0.217
0.375	-0.801
0.062	0.515
-0.391	0.984
0.154	0.755
0.496	0.258
0.967	0.334
-0.005	-0.672
0.299	-0.504
0.259	-0.542
0.401	-0.366
-0.342	-0.537
-0.852	0.266
-0.553	0.302
0.021	0.943
-0.773	-0.057
0.185	0.889
-0.131	-0.994
-0.532	0.351
-0.918	-0.172
0.392	0.348
-0.343	0.481
0.306	-0.485
0.065	-0.825
-0.341	-0.620
-0.337	-0.624
-0.127	0.917
-0.758	0.372
-0.232	0.549
0.748	-0.004
0.152	-0.674
-0.073	0.698
0.368	0.455
-0.722	0.206
-0.015	0.676
-0.003	-0.757
-0.724	-0.279
-0.350	0.864
0.817	0.244
0.218	-0.482
-0.337	-0.818
-0.145	0.869
0.524	-0.025
0.035	-0.584
-0.211	-0.511
-0.348	0.459
0.277	0.970
-0.324	0.795
-0.728	-0.178
-0.052	0.730
-0.396	0.314
-0.893	-0.085
0.562	0.384
-0.115	-0.762
0.777	-0.047
-0.660	0.219
-0.037	-0.549
0.757	-0.311
0.630	0.318
0.252	0.672
-0.384	-0.558
-0.604	0.225
-0.781	0.349
-0.538	-0.229
0.066	-0.691
0.111	-0.971
0.105	0.839
0.372	0.620
0.396	-0.376
0.292	-0.988
0.066	0.688
0.604	0.356
0.371	-0.625
-0.477	0.311
0.335	0.758
0.658	0.351
0.853	0.103
0.867	-0.011
0.105	0.878
0.314	0.991
0.872	-0.351
0.749	0.178
0.276	0.519
-0.703	0.158
0.665	0.030
-0.775	-0.020
0.021	-0.903
0.629	-0.231
-0.174	-0.506
-0.186	-0.965
-0.560	0.260
-0.123	0.701
0.534	-0.333
