-0.469621	-0.447804	C2
0.094368	0.034548	C1
0.709009	-0.403196	C3
-0.663403	0.419365	C3
0.225943	-0.551024	C4
-0.268548	-0.459567	C4
0.317147	-0.735697	C4
-0.752318	-0.932121	C2
-0.761640	0.333037	C4
0.843905	0.273970	C4
0.337605	0.827504	C4
0.237186	0.888919	C4
-0.346551	0.313913	C1
0.205644	-0.910072	C4
0.513667	-0.759807	C3
0.222676	-0.163003	C1
0.559273	-0.743638	C3
-0.214784	-0.294661	C1
0.325649	-0.977514	C4
-0.775729	0.573330	C4
0.608101	0.811690	C2
0.452007	0.085660	C1
0.279510	-0.677154	C4
-0.350074	0.932959	C4
0.636759	0.069225	C4
0.138603	0.726687	C4
-0.417108	0.378796	C4
-0.347207	0.805568	C4
-0.784207	0.407813	C3
-0.527844	-0.363671	C4
-0.849943	0.177494	C4
-0.403703	0.475706	C3
-0.179432	0.049036	C1
-0.571330	-0.139274	C4
-0.286253	0.880676	C4
0.946386	0.474754	C2
-0.730769	-0.875320	C2
0.905990	0.193905	C4
-0.768251	0.632677	C3
0.610545	-0.714530	C3
0.826339	0.693282	C2
-0.701506	-0.670389	C2
0.475989	-0.074092	C1
-0.324031	0.746477	C4
0.622003	0.966315	C4
-0.517271	-0.319938	C4
-0.944178	-0.570885	C4
0.216008	-0.301654	C1
-0.690846	-0.395664	C4
0.473400	-0.459097	C3
0.250197	-0.848552	C4
-0.477518	-0.167439	C4
0.977787	-0.784235	C3
-0.723719	-0.454624	C2
0.752270	0.471284	C2
-0.571761	0.217761	C4
0.071999	-0.605446	C4
0.392907	0.554728	C4
0.074615	0.448729	C1
0.229431	-0.335263	C1
0.508927	-0.026109	C4
0.286525	-0.017673	C1
0.523537	-0.767476	C3
-0.953980	0.065084	C4
0.644029	-0.738215	C3
0.920310	-0.192839	C4
0.721878	0.672580	C2
0.171873	-0.899181	C4
0.496206	-0.756128	C3
-0.110887	0.798600	C4
0.569988	-0.662158	C3
-0.200581	0.002579	C1
-0.691654	0.976470	C3
0.290673	0.491264	C4
0.274693	0.523196	C4
0.157506	0.320713	C1
-0.198465	0.582497	C4
0.433131	-0.278155	C4
-0.610342	0.155009	C4
-0.605575	-0.331897	C4
-0.673117	-0.504757	C4
-0.429245	-0.009384	C1
-0.630646	-0.439396	C2
-0.848203	0.360023	C4
-0.606157	-0.383572	C4
0.668368	-0.629687	C3
-0.040959	0.861577	C4
0.642277	-0.517763	C3
-0.037010	0.070517	C1
-0.454513	-0.496352	C2
-0.064855	0.658657	C4
-0.063112	0.603249	C4
